GO:0070935	3'-UTR-mediated mRNA stabilization
GO:0005858^OBO_REL:part_of(TAO:0000151)	axonemal dynein complex of pronephros
GO:0005879^OBO_REL:part_of(TAO:0000150)	axonemal microtubule of pronephric duct
GO:0005879^OBO_REL:part_of(TAO:0000151)	axonemal microtubule of pronephros
GO:0005930^OBO_REL:part_of(TAO:0000554)	axoneme of olfactory epithelium
GO:0007409	axonogenesis
TAO:0000006	ball
TAO:0005000	basal communicating artery
GO:0005605^OBO_REL:part_of(VSAO:0000164)	basal lamina of caudal fin
GO:0005605^OBO_REL:part_of(TAO:0000123)	basal lamina of liver
GO:0005605^OBO_REL:part_of(VSAO:0000032)	basal lamina of notochord
GO:0005605^OBO_REL:part_of(TAO:0001558)	basal lamina of pronephric tubule
CARO:0000065^OBO_REL:part_of(TAO:0000152)	basal lamina of retina
GO:0045178^OBO_REL:part_of(TAO:0009306)	basal part of cell of neuroepithelial cell
TAO:0001425	basal plate cartilage
TAO:0000761	basal plate midbrain
GO:0045175	basal protein localization
GO:0006284	base-excision repair
GO:0070831	basement membrane assembly
GO:0005604^OBO_REL:part_of(TAO:0001079)	basement membrane of blood vasculature
GO:0005604^OBO_REL:part_of(CARO:0000066)	basement membrane of epithelium
GO:0005604^OBO_REL:part_of(TAO:0000107)	basement membrane of eye
GO:0005604^OBO_REL:part_of(VSAO:0000029)	basement membrane of integument
GO:0005604^OBO_REL:part_of(ZFA:0005574)	basement membrane of lens capsule
GO:0005604^OBO_REL:part_of(TAO:0000040)	basement membrane of median fin fold
GO:0005604^OBO_REL:part_of(TAO:0001056)	basement membrane of myotome
GO:0005604^OBO_REL:part_of(VSAO:0000032)	basement membrane of notochord
GO:0005604^OBO_REL:part_of(TAO:0000445)	basement membrane of optic tectum
GO:0005604^OBO_REL:part_of(TAO:0005128)	basement membrane of posterior intestine epithelium
GO:0005604^OBO_REL:part_of(TAO:0001288)	basement membrane of renal glomeruli
GO:0005604^OBO_REL:part_of(TAO:0000610)	basement membrane of vertical myoseptum
GO:0071711	basement membrane organization
TAO:0000170	basibranchial bone
TAO:0000316	basihyal bone
TAO:0001510	basihyal cartilage
TAO:0005002	basilar artery
TAO:0005236	basophilic erythroblast
GO:0007610	behavior
GO:0001662	behavioral fear response
GO:0048149	behavioral response to ethanol
GO:0035095	behavioral response to nicotine
GO:0032782	bile acid secretion
TAO:0005163	bile canaliculus
TAO:0005164	bile ductule
TAO:0005164^OBO_REL:part_of(TAO:0005169)	bile ductule of intrahepatic bile duct
TAO:0005164^OBO_REL:part_of(TAO:0000036)	bile ductule of liver and biliary system
TAO:0001270	blastema
TAO:0001270^OBO_REL:part_of(VSAO:0000164)	blastema of caudal fin
TAO:0001270^OBO_REL:part_of(TAO:0001269)	blastema of regenerating fin
TAO:0001176	blastoderm
TAO:0009177	blastoderm cell
TAO:0009177^OBO_REL:part_of(TAO:0000711)	blastoderm cell of DEL
TAO:0009177^OBO_REL:part_of(TAO:0000086)	blastoderm cell of EVL
TAO:0009177^OBO_REL:part_of(TAO:0001176)	blastoderm cell of blastoderm
TAO:0001175	blastodisc
TAO:0000093	blastomere
TAO:0000093^OBO_REL:part_of(TAO:0000071)	blastomere of shield
GO:0032060	bleb assembly
GO:0032059^OBO_REL:part_of(TAO:0000004)	bleb of anterior axial hypoblast
GO:0032059^OBO_REL:part_of(TAO:0000117)	bleb of hypoblast
GO:0032059^OBO_REL:part_of(TAO:0000038)	bleb of margin
GO:0032059^OBO_REL:part_of(CL:0000222)	bleb of mesodermal cell
TAO:0000007	blood
TAO:0009044	blood cell
GO:0008015	blood circulation
GO:0007596	blood coagulation
TAO:0000094	blood island
TAO:0000007^OBO_REL:part_of(TAO:0002137)	blood of blood vessel
TAO:0000007^OBO_REL:part_of(TAO:0000114)	blood of heart
TAO:0000007^OBO_REL:part_of(TAO:0005091)	blood of hepatic sinusoid
TAO:0001079	blood vasculature
TAO:0001079^OBO_REL:part_of(TAO:0000112)	blood vasculature of gut
TAO:0001079^OBO_REL:part_of(TAO:0001114)	blood vasculature of head
TAO:0001079^OBO_REL:part_of(TAO:0000029)	blood vasculature of hindbrain
TAO:0001079^OBO_REL:part_of(TAO:0000123)	blood vasculature of liver
TAO:0001079^OBO_REL:part_of(VSAO:0000147)	blood vasculature of pectoral fin
TAO:0001079^OBO_REL:part_of(TAO:0000084)	blood vasculature of yolk
TAO:0002137	blood vessel
GO:0001568	blood vessel development
TAO:0009036	blood vessel endothelial cell
GO:0043534	blood vessel endothelial cell migration
TAO:0009036^OBO_REL:part_of(TAO:0005000)	blood vessel endothelial cell of basal communicating artery
TAO:0009036^OBO_REL:part_of(TAO:0000180)	blood vessel endothelial cell of caudal vein
TAO:0009036^OBO_REL:part_of(TAO:0001267)	blood vessel endothelial cell of cranial vasculature
TAO:0009036^OBO_REL:part_of(TAO:0000014)	blood vessel endothelial cell of dorsal aorta
TAO:0009036^OBO_REL:part_of(TAO:0001285)	blood vessel endothelial cell of intersegmental vessel
TAO:0009036^OBO_REL:part_of(TAO:0000477)	blood vessel endothelial cell of posterior cardinal vein
TAO:0009036^OBO_REL:part_of(TAO:0005001)	blood vessel endothelial cell of posterior communicating artery
TAO:0009036^OBO_REL:part_of(TAO:0000084)	blood vessel endothelial cell of yolk
GO:0072554	blood vessel lumenization
GO:0048514	blood vessel morphogenesis
TAO:0002137^OBO_REL:part_of(TAO:0005024)	blood vessel of trunk vasculature
GO:0001974	blood vessel remodeling
TAO:0009222	blue sensitive photoreceptor cell
TAO:0001094	body
TAO:0001514	bone
GO:0060348	bone development
GO:0030282	bone mineralization
GO:0045453	bone resorption
ZFA:0005621	bone tissue
TAO:0000008	brain
GO:0007420	brain development
GO:0048854	brain morphogenesis
GO:0035284	brain segmentation
TAO:0000318	brain stem/spinal tract and commissures
TAO:0000099	brain vasculature
GO:0009081	branched chain family amino acid metabolic process
TAO:0000172	branchial muscle
GO:0048755	branching morphogenesis of a nerve
GO:0014707	branchiomeric skeletal muscle development
TAO:0000476	branchiostegal ray
TAO:0001279	branchiostegal ray 1
TAO:0001280	branchiostegal ray 3
TAO:0009143^OBO_REL:part_of(TAO:0001558)	brush border epithelial cell of pronephric tubule
GO:0005903^OBO_REL:part_of(TAO:0001094)	brush border of body
GO:0005903^OBO_REL:part_of(TAO:0005124)	brush border of intestinal epithelium
GO:0005903^OBO_REL:part_of(TAO:0000150)	brush border of pronephric duct
TAO:0000173	bulbus arteriosus
GO:0055074	calcium ion homeostasis
GO:0070509	calcium ion import
GO:0006816	calcium ion transport
GO:0005954^OBO_REL:part_of(TAO:0000001)	calcium- and calmodulin-dependent protein kinase complex of Kupffer's vesicle
GO:0016339	calcium-dependent cell-cell adhesion
GO:0016338	calcium-independent cell-cell adhesion
GO:0019722	calcium-mediated signaling
GO:0004683	calmodulin-dependent protein kinase activity
GO:0043010	camera-type eye development
GO:0048593	camera-type eye morphogenesis
GO:0060219	camera-type eye photoreceptor cell differentiation
GO:0060070	canonical Wnt receptor signaling pathway
GO:0004089	carbonate dehydratase activity
GO:0003230	cardiac atrium development
GO:0035051	cardiac cell differentiation
GO:0060912	cardiac cell fate specification
GO:0003207	cardiac chamber formation
GO:0003206	cardiac chamber morphogenesis
GO:0061337	cardiac conduction
GO:0003161	cardiac conduction system development
TAO:0001318	cardiac jelly
TAO:0005280	cardiac muscle
TAO:0009316	cardiac muscle cell
GO:0055013	cardiac muscle cell development
GO:0055007	cardiac muscle cell differentiation
TAO:0009316^OBO_REL:part_of(TAO:0001374)	cardiac muscle cell of atrial myocardium
TAO:0009316^OBO_REL:part_of(TAO:0001315)	cardiac muscle cell of atrioventricular canal
TAO:0009316^OBO_REL:part_of(TAO:0000471)	cardiac muscle cell of atrium
TAO:0009316^OBO_REL:part_of(TAO:0000009)	cardiac muscle cell of cardiac ventricle
TAO:0009316^OBO_REL:part_of(TAO:0000114)	cardiac muscle cell of heart
TAO:0009316^OBO_REL:part_of(TAO:0000115)	cardiac muscle cell of heart rudiment
TAO:0009316^OBO_REL:part_of(TAO:0001319)	cardiac muscle cell of myocardium
TAO:0009316^OBO_REL:part_of(TAO:0005061)	cardiac muscle cell of ventricular myocardium
GO:0060038	cardiac muscle cell proliferation
GO:0060048	cardiac muscle contraction
TAO:0009234	cardiac muscle myoblast
TAO:0009234^OBO_REL:part_of(TAO:0000028)	cardiac muscle myoblast of heart primordium
TAO:0009234^OBO_REL:part_of(TAO:0002229)	cardiac muscle myoblast of presumptive atrium primitive heart tube
GO:0003261	cardiac muscle progenitor cell migration to the midline involved in heart field formation
GO:0048738	cardiac muscle tissue development
GO:0055008	cardiac muscle tissue morphogenesis
GO:0055003	cardiac myofibril assembly
TAO:0000009	cardiac ventricle
GO:0003231	cardiac ventricle development
GO:0003208	cardiac ventricle morphogenesis
GO:0042685	cardioblast cell fate specification
GO:0010002	cardioblast differentiation
GO:0003260	cardioblast migration
GO:0060975	cardioblast migration to the midline involved in heart field formation
TAO:0000010	cardiovascular system
GO:0072358	cardiovascular system development
GO:0001502	cartilage condensation
GO:0051216	cartilage development
GO:0060351	cartilage development involved in endochondral bone morphogenesis
GO:0060536	cartilage morphogenesis
VSAO:0000040	cartilage tissue
VSAO:0000040^OBO_REL:part_of(TAO:0001227)	cartilage tissue of mandibular arch
VSAO:0000040^OBO_REL:part_of(TAO:0001580)	cartilage tissue of neurocranium
VSAO:0000040^OBO_REL:part_of(VSAO:0000147)	cartilage tissue of pectoral fin
VSAO:0000040^OBO_REL:part_of(TAO:0000141)	cartilage tissue of pectoral fin bud
VSAO:0000040^OBO_REL:part_of(TAO:0000692)	cartilage tissue of symplectic
TAO:0005155^OBO_REL:part_of(TAO:0001227)	cartilaginous joint of mandibular arch
TAO:0005155^OBO_REL:part_of(TAO:0000250)	cartilaginous joint of opercle
GO:0016342^OBO_REL:part_of(TAO:0009306)	catenin complex of neuroepithelial cell
GO:0006812	cation transport
TAO:0000011	caudal artery
TAO:0000320	caudal commissure
VSAO:0000164	caudal fin
TAO:0000437	caudal fin actinotrichium
GO:0033336	caudal fin development
VSAO:0000174	caudal fin lepidotrichium
TAO:0001594	caudal fin lower lobe
GO:0035143	caudal fin morphogenesis
VSAO:0000167	caudal fin skeleton
TAO:0001593	caudal fin upper lobe
ZFA:0000634	caudal hypothalamic zone
TAO:0000633	caudal tuberculum
TAO:0000180	caudal vein
TAO:0001286	caudal vein plexus
TAO:0000326	caudal vertebra
GO:0005901^OBO_REL:part_of(TAO:0000396)	caveola of nervous system
GO:0005901^OBO_REL:part_of(VSAO:0000032)	caveola of notochord
GO:0005901^OBO_REL:part_of(TAO:0009041)	caveola of peridermal cell
GO:0005901^OBO_REL:part_of(TAO:0000155)	caveola of somite
CARO:0000013	cell
GO:0007155	cell adhesion
GO:0007569	cell aging
GO:0044297^OBO_REL:part_of(TAO:0009067)	cell body of CNS neuron (sensu Vertebrata)
GO:0044297^OBO_REL:part_of(TAO:0000243)	cell body of neuromast
GO:0044297^OBO_REL:part_of(TAO:0009310)	cell body of retinal ganglion cell
GO:0044297^OBO_REL:part_of(TAO:0009247)	cell body of secondary motor neuron
GO:0010644	cell communication by electrical coupling
GO:0007049	cell cycle
GO:0007050	cell cycle arrest
GO:0022402	cell cycle process
GO:0008219	cell death
GO:0030154	cell differentiation
GO:0021533	cell differentiation in hindbrain
GO:0039014	cell differentiation involved in pronephros development
GO:0051301	cell division
GO:0045165	cell fate commitment
GO:0001708	cell fate specification
GO:0030054^OBO_REL:part_of(TAO:0000086)	cell junction of EVL
GO:0030054^OBO_REL:part_of(TAO:0000678)	cell junction of hair cell anterior macula
GO:0030054^OBO_REL:part_of(TAO:0005124)	cell junction of intestinal epithelium
GO:0034330	cell junction organization
GO:0016477	cell migration
GO:0061381	cell migration in diencephalon
GO:0021535	cell migration in hindbrain
GO:0042074	cell migration involved in gastrulation
GO:0060973	cell migration involved in heart development
GO:0060974	cell migration involved in heart formation
GO:0035787	cell migration involved in kidney development
GO:0090134	cell migration involved in mesendoderm migration
GO:0000902	cell morphogenesis
CARO:0000013^OBO_REL:part_of(TAO:0000711)	cell of DEL
CARO:0000013^OBO_REL:part_of(TAO:0000086)	cell of EVL
GO:0005623^OBO_REL:part_of(TAO:0000086)	cell of EVL
CARO:0000013^OBO_REL:part_of(TAO:0000086)	cell of EVL
CARO:0000013^OBO_REL:part_of(TAO:0000001)	cell of Kupffer's vesicle
CARO:0000013^OBO_REL:part_of(ZFA:0005566)	cell of anterior segment eye
CARO:0000013^OBO_REL:part_of(TAO:0001094)	cell of body
CARO:0000013^OBO_REL:part_of(TAO:0000008)	cell of brain
CARO:0000013^OBO_REL:part_of(TAO:0001320)	cell of endocardium
CARO:0000013^OBO_REL:part_of(TAO:0000105)	cell of epidermis
CARO:0000013^OBO_REL:part_of(TAO:0000107)	cell of eye
CARO:0000013^OBO_REL:part_of(VSAO:0000099)	cell of fin
CARO:0000013^OBO_REL:part_of(TAO:0000022)	cell of floor plate
CARO:0000013^OBO_REL:part_of(TAO:0000110)	cell of fourth ventricle
CARO:0000013^OBO_REL:part_of(TAO:0000112)	cell of gut
CARO:0000013^OBO_REL:part_of(TAO:0001114)	cell of head
GO:0005623^OBO_REL:part_of(TAO:0001114)	cell of head
CARO:0000013^OBO_REL:part_of(TAO:0000029)	cell of hindbrain
CARO:0000013^OBO_REL:part_of(TAO:0000117)	cell of hypoblast
CARO:0000013^OBO_REL:part_of(TAO:0000217)	cell of inner ear
CARO:0000013^OBO_REL:part_of(VSAO:0000029)	cell of integument
CARO:0000013^OBO_REL:part_of(TAO:0001285)	cell of intersegmental vessel
GO:0005623^OBO_REL:part_of(TAO:0005124)	cell of intestinal epithelium
CARO:0000013^OBO_REL:part_of(TAO:0005124)	cell of intestinal epithelium
CARO:0000013^OBO_REL:part_of(TAO:0005169)	cell of intrahepatic bile duct
CARO:0000013^OBO_REL:part_of(TAO:0000035)	cell of lens
CARO:0000013^OBO_REL:part_of(TAO:0007000)	cell of macula saccule
CARO:0000013^OBO_REL:part_of(TAO:0000040)	cell of median fin fold
CARO:0000013^OBO_REL:part_of(TAO:0000128)	cell of midbrain
CARO:0000013^OBO_REL:part_of(TAO:0001135)	cell of neural tube
CARO:0000013^OBO_REL:part_of(VSAO:0000032)	cell of notochord
CARO:0000013^OBO_REL:part_of(TAO:0000445)	cell of optic tectum
GO:0005623^OBO_REL:part_of(TAO:0001360)	cell of parapineal organ
CARO:0000013^OBO_REL:part_of(VSAO:0000147)	cell of pectoral fin
CARO:0000013^OBO_REL:part_of(VSAO:0000036)	cell of perichondrium
CARO:0000013^OBO_REL:part_of(TAO:0001306)	cell of pharyngeal arch
CARO:0000013^OBO_REL:part_of(TAO:0001466)	cell of photoreceptor outer segment layer
CARO:0000013^OBO_REL:part_of(TAO:0001117)	cell of post-vent region
CARO:0000013^OBO_REL:part_of(TAO:0001218)	cell of presumptive floor plate
CARO:0000013^OBO_REL:part_of(TAO:0000150)	cell of pronephric duct
GO:0005623^OBO_REL:part_of(TAO:0000152)	cell of retina
CARO:0000013^OBO_REL:part_of(TAO:0000152)	cell of retina
GO:0005623^OBO_REL:part_of(TAO:0000152)	cell of retina
CARO:0000013^OBO_REL:part_of(TAO:0000152)	cell of retina
CARO:0000013^OBO_REL:part_of(TAO:0000024)	cell of retinal ganglion cell layer
CARO:0000013^OBO_REL:part_of(TAO:0000119)	cell of retinal inner nuclear layer
GO:0005623^OBO_REL:part_of(TAO:0000119)	cell of retinal inner nuclear layer
CARO:0000013^OBO_REL:part_of(TAO:0000119)	cell of retinal inner nuclear layer
CARO:0000013^OBO_REL:part_of(TAO:0001329)	cell of retinal inner plexiform layer
CARO:0000013^OBO_REL:part_of(TAO:0000046)	cell of retinal neural layer
CARO:0000013^OBO_REL:part_of(TAO:0001464)	cell of retinal outer nuclear layer
CARO:0000013^OBO_REL:part_of(TAO:0000075)	cell of spinal cord
CARO:0000013^OBO_REL:part_of(TAO:0000447)	cell of tela chorioidea
CARO:0000013^OBO_REL:part_of(TAO:0001069)	cell of ventral fin fold
CARO:0000013^OBO_REL:part_of(TAO:0001083)	cell of ventricular zone
GO:0031253^OBO_REL:part_of(CL:0000138)	cell projection membrane of chondrocyte
GO:0031253^OBO_REL:part_of(TAO:0009256)	cell projection membrane of nucleate erythrocyte
GO:0042995^OBO_REL:part_of(TAO:0009036)	cell projection of blood vessel endothelial cell
GO:0042995^OBO_REL:part_of(TAO:0009137)	cell projection of ectodermal cell
GO:0042995^OBO_REL:part_of(TAO:0000018)	cell projection of epiblast
GO:0042995^OBO_REL:part_of(TAO:0000117)	cell projection of hypoblast
GO:0042995^OBO_REL:part_of(TAO:0009091)	cell projection of melanocyte
GO:0042995^OBO_REL:part_of(TAO:0000243)	cell projection of neuromast
GO:0042995^OBO_REL:part_of(TAO:0009076)	cell projection of oligodendrocyte
GO:0042995^OBO_REL:part_of(TAO:0009285)	cell projection of podocyte
GO:0042995^OBO_REL:part_of(TAO:0000060)	cell projection of prechordal plate
GO:0042995^OBO_REL:part_of(TAO:0002237)	cell projection of pronephric podocyte
GO:0042995^OBO_REL:part_of(TAO:0009292)	cell projection of radial glial cell
GO:0008283	cell proliferation
GO:0021846	cell proliferation in forebrain
GO:0021534	cell proliferation in hindbrain
GO:0021923	cell proliferation in hindbrain ventricular zone
GO:0033278	cell proliferation in midbrain
GO:0035736	cell proliferation involved in compound eye morphogenesis
GO:0061323	cell proliferation involved in heart morphogenesis
GO:0072111	cell proliferation involved in kidney development
GO:0039015	cell proliferation involved in pronephros development
GO:0009986^OBO_REL:part_of(TAO:0009158)	cell surface of keratinocyte
GO:0005913^OBO_REL:part_of(TAO:0000086)	cell-cell adherens junction of EVL
GO:0005913^OBO_REL:part_of(TAO:0001205)	cell-cell adherens junction of Meckel's cartilage
GO:0005913^OBO_REL:part_of(CL:0000138)	cell-cell adherens junction of chondrocyte
GO:0005913^OBO_REL:part_of(TAO:0000040)	cell-cell adherens junction of median fin fold
GO:0016337	cell-cell adhesion
GO:0070586	cell-cell adhesion involved in gastrulation
GO:0003370	cell-cell adhesion involved in mesendodermal cell migration
GO:0005911^OBO_REL:part_of(TAO:0002169)	cell-cell junction of atrial endocardium
GO:0005911^OBO_REL:part_of(TAO:0009036)	cell-cell junction of blood vessel endothelial cell
GO:0005911^OBO_REL:part_of(TAO:0009316)	cell-cell junction of cardiac muscle cell
GO:0005911^OBO_REL:part_of(TAO:0009038)	cell-cell junction of columnar/cuboidal epithelial cell
GO:0005911^OBO_REL:part_of(TAO:0001267)	cell-cell junction of cranial vasculature
GO:0005911^OBO_REL:part_of(TAO:0009065)	cell-cell junction of endothelial cell
GO:0005911^OBO_REL:part_of(TAO:0000114)	cell-cell junction of heart
GO:0005911^OBO_REL:part_of(TAO:0009306)	cell-cell junction of neuroepithelial cell
GO:0005911^OBO_REL:part_of(TAO:0000477)	cell-cell junction of posterior cardinal vein
GO:0045216	cell-cell junction organization
GO:0006874	cellular calcium ion homeostasis
GO:0043482	cellular pigment accumulation
GO:0033059	cellular pigmentation
GO:0071485	cellular response to absence of light
GO:0071257	cellular response to electrical stimulus
GO:0071361	cellular response to ethanol
GO:0034605	cellular response to heat
